Designator,Mid X,Mid Y,Layer,Rotation
"D1",47.8592mm,-86.4835mm,Bottom,171
"D10",100.9399mm,-52.4510mm,Bottom,180
"D11",100.9399mm,-35.4510mm,Bottom,180
"D12",118.9399mm,-75.4010mm,Bottom,180
"D13",118.9399mm,-58.4010mm,Bottom,180
"D14",118.9399mm,-41.4010mm,Bottom,180
"D15",136.9399mm,-77.9510mm,Bottom,180
"D16",136.9399mm,-60.9510mm,Bottom,180
"D17",136.9399mm,-43.9510mm,Bottom,180
"D18",107.4199mm,-92.4010mm,Bottom,180
"D19",126.3052mm,-94.9070mm,Bottom,195
"D2",45.1998mm,-69.6928mm,Bottom,171
"D20",143.8984mm,-102.2155mm,Bottom,210
"D21",159.0005mm,-113.8285mm,Bottom,225
"D3",66.9141mm,-91.7272mm,Bottom,171
"D4",64.2547mm,-74.9365mm,Bottom,171
"D5",61.5953mm,-58.1458mm,Bottom,171
"D6",83.1609mm,-77.0929mm,Bottom,176
"D7",81.9750mm,-60.1343mm,Bottom,176
"D8",80.7892mm,-43.1757mm,Bottom,176
"D9",100.9399mm,-69.4510mm,Bottom,180
"R1",151.7099mm,-46.4360mm,Bottom,180
"R10",151.7099mm,-69.2960mm,Bottom,180
"R11",151.7099mm,-71.8360mm,Bottom,180
"R12",151.7099mm,-74.3760mm,Bottom,180
"R13",161.7699mm,-46.4360mm,Bottom,180
"R14",161.7699mm,-48.9760mm,Bottom,180
"R15",161.7699mm,-51.5160mm,Bottom,180
"R16",161.7699mm,-54.0560mm,Bottom,180
"R17",161.7699mm,-56.5960mm,Bottom,180
"R18",161.7699mm,-59.1360mm,Bottom,180
"R19",161.7699mm,-61.6760mm,Bottom,180
"R2",151.7099mm,-48.9760mm,Bottom,180
"R20",161.7699mm,-64.2160mm,Bottom,180
"R21",161.7699mm,-66.7560mm,Bottom,180
"R22",161.7699mm,-69.2960mm,Bottom,180
"R23",161.7699mm,-71.8360mm,Bottom,180
"R24",161.7699mm,-74.3760mm,Bottom,180
"R25",151.6599mm,-76.9360mm,Bottom,90
"R26",154.1999mm,-76.9360mm,Bottom,90
"R27",159.2799mm,-76.9360mm,Bottom,90
"R28",161.8199mm,-76.9360mm,Bottom,90
"R29",160.9210mm,-89.7029mm,Bottom,225
"R3",151.7099mm,-51.5160mm,Bottom,180
"R30",159.5068mm,-91.1171mm,Bottom,225
"R4",151.7099mm,-54.0560mm,Bottom,180
"R5",151.7099mm,-56.5960mm,Bottom,180
"R6",151.7099mm,-59.1360mm,Bottom,180
"R7",151.7099mm,-61.6760mm,Bottom,180
"R8",151.7099mm,-64.2160mm,Bottom,180
"R9",151.7099mm,-66.7560mm,Bottom,180
